sample,TCGA-OL-A66H-01,TCGA-3C-AALK-01,TCGA-AR-A1AH-01,TCGA-AC-A5EH-01,TCGA-EW-A2FW-01,TCGA-E9-A1R0-01,TCGA-BH-A0BL-01,TCGA-AR-A1AJ-01,TCGA-A7-A13G-01,TCGA-AC-A62Y-01,TCGA-E9-A1QZ-01,TCGA-E9-A1R2-01,TCGA-GM-A2DK-01,TCGA-AR-A255-01,TCGA-E2-A15T-01,TCGA-AO-A1KQ-01,TCGA-E9-A1N4-11,TCGA-C8-A1HL-01,TCGA-D8-A1JD-01,TCGA-D8-A1XA-01,TCGA-E9-A5FL-01,TCGA-BH-A1F2-11,TCGA-A7-A3RF-01,TCGA-A7-A3IY-01,TCGA-GM-A2D9-01,TCGA-D8-A3Z5-01,TCGA-E9-A1ND-01,TCGA-EW-A1P5-01,TCGA-E9-A1RD-01,TCGA-AR-A250-01,TCGA-E2-A153-11,TCGA-AR-A1AQ-01,TCGA-LD-A66U-01,TCGA-BH-A1EN-01,TCGA-AO-A1KO-01,TCGA-BH-A0AU-11,TCGA-E9-A1N5-01,TCGA-D8-A1J8-01,TCGA-BH-A0DL-11,TCGA-E9-A3QA-01,TCGA-BH-A18J-11,TCGA-BH-A2L8-01,TCGA-A2-A3XX-01,TCGA-AC-A2FB-01,TCGA-E9-A3X8-01,TCGA-GM-A2DC-01,TCGA-AR-A24N-01,TCGA-E2-A1B0-01,TCGA-EW-A1IW-01,TCGA-EW-A6S9-01,TCGA-E9-A1N3-01,TCGA-GM-A2DN-01,TCGA-BH-A0BQ-11,TCGA-BH-A0DO-11,TCGA-A2-A3XT-01,TCGA-A7-A4SE-01,TCGA-BH-A0DT-01,TCGA-AC-A6IV-01,TCGA-Z7-A8R5-01,TCGA-AR-A2LJ-01,TCGA-AQ-A1H3-01,TCGA-B6-A1KI-01,TCGA-BH-A1EW-01,TCGA-BH-A1FG-01,TCGA-AR-A0TS-01,TCGA-AR-A1AT-01,TCGA-A2-A1G1-01,TCGA-BH-A18R-01,TCGA-D8-A27P-01,TCGA-EW-A2FS-01,TCGA-E2-A1IL-01,TCGA-A7-A3IZ-01,TCGA-E2-A570-01,TCGA-OL-A66J-01,TCGA-AR-A2LO-01,TCGA-BH-A1FC-11,TCGA-A2-A04W-01,TCGA-BH-A201-01,TCGA-LL-A5YM-01
MIMAT0000763,9.97157394011,8.13256974454,9.09787613621,7.166947170169999,7.60827338327,7.22705884134,8.38458551212,8.904186321900001,7.38521921262,8.60996359232,10.3652378205,11.1679916521,6.17003054893,7.002300693060001,10.713480379,7.52949728446,7.094889186739999,7.810108900689999,7.63558581093,7.442614367130001,9.03877296374,8.51175729253,10.8446514478,7.69456256598,7.327570680589999,7.796433705780001,8.49225685568,8.25847102474,7.93874149033,7.96876503724,7.96350316634,7.916229115349999,6.79500077758,7.842177264610001,7.0657511617,6.34770450911,8.5826769267,6.692197834119999,7.58234299603,7.728626253260001,7.95518703908,5.59653326279,7.59092186375,8.112495890249999,6.120862562509999,8.829186873089998,9.81205244761,7.67863094,9.39201332852,6.82104457033,10.6513310734,6.059757760669999,8.53902487891,7.59543135916,7.751369272230001,8.056644128610001,7.407651629510001,8.63088631514,8.40176006173,6.89886446275,8.00731079411,7.712887991110001,7.71769471398,10.0727117633,7.748616077139999,7.47636969993,6.70315527386,10.5390498863,5.79677570019,6.53748432396,10.0240446625,11.3955639757,8.34084562026,7.749315530830001,6.04305495863,7.92444499945,8.05223323454,9.63200844761,10.8619145711
MIMAT0000762,3.34356125732,3.75357166454,3.361544850990001,2.72614965217,4.694850741000001,3.74698429627,5.0115966399300005,4.589189847169999,4.94496345843,3.27751013054,4.25688581994,5.45920571431,3.48827505762,4.81341352045,5.07271248632,5.75547775265,3.10473060603,4.08400776696,4.12529817015,5.18011282887,3.45934159315,3.64048200149,5.0994103949000005,4.89047561868,3.1899810251800003,3.08493275205,4.33520137372,4.46481253785,4.8681363092000005,4.71967576578,4.19954995319,5.623355521390001,3.07876319684,4.074203997130001,3.62412812998,3.07319007301,4.23700005133,4.08671454019,3.81006424444,5.508640128220001,3.4387020315900005,2.96327545799,5.9740722669,3.75383594732,3.0016902367,4.18650952811,4.87483524632,4.39873362131,3.66686679422,3.91897310273,5.141063530209999,2.38303176126,5.302268479119999,3.4236457825200004,5.827607414709999,4.71231328986,4.10783849544,3.1454159444400003,3.1485378134400004,3.65248586417,4.032359276269999,4.0463842513,5.21612553372,3.904276839930001,5.53746518482,4.04824236409,5.3351025853600005,5.52463863535,4.13031586635,3.95502639666,4.17694555264,4.66889916909,3.485214468,4.08885644822,3.2535470567,3.95323758622,4.20678332884,3.6366292590800007,4.40006068888
MIMAT0002891,0.780511409518,0.396273433403,2.14354384298,0.43407198143,0.659063223512,0.3739,1.83915520507,2.42633485064,,0.535925967412,0.786407773036,0.4951,0.4112102701199999,0.1888,0.3233,1.29433560936,0.1721,1.7428049599200002,1.06819465298,0.5006,2.48109629125,,1.43072906395,1.25170314088,0.7380891530470001,,2.15169295225,0.9386,0.1968,1.06107858707,0.4994,4.95744508008,0.1897,1.83009582127,1.99969607481,1.7145622431299998,,0.7488871370290001,0.55949230456,1.93869069343,,0.497859820078,2.66161630332,0.524342444414,0.1377,0.392751940756,0.7370655940199999,1.30466969452,0.5729,0.5566690401659999,1.39654311477,0.767822075097,1.7671273120599995,0.5284,2.11798898974,1.98085987685,0.903121971711,0.320982954692,0.7571310969580001,0.686314091595,0.806950354853,0.686007127439,0.7792339712559999,,1.99627582942,1.15000435578,3.5486431897099995,1.7528129870700002,,1.34910409408,0.1936,0.2654,0.1206,0.4964,0.343698250354,0.419,0.862867514075,1.2255994337,0.683833285398
MIMAT0002890,1.0541844131,1.68397398459,1.30161342496,2.28137717742,2.49379380696,1.75140981324,3.27807285035,3.0284792898900004,2.05688059663,1.63191723597,1.90844256397,1.15598298727,2.4023384106,2.62575036877,1.00343333517,,3.03955709557,1.74284968684,1.67519112169,1.4109748322600002,3.96183561907,2.57788557351,1.31263736619,1.91166940262,2.11749730151,1.6984860331799998,1.7905876199200002,1.5024,0.908333639149,2.09060991,2.84892763168,,1.5693186998,1.83011166196,4.58460502192,3.5655408240800006,0.903881171003,2.24567990972,3.4209406489700003,1.27303153006,3.1137221959099994,3.1081870850300004,1.87331816972,1.90267144051,1.76695935972,1.44403748692,2.41531952755,1.30466969452,2.14166700324,2.15476326588,1.48337195018,2.56540047578,2.0721082817900003,1.86936015129,2.11789932133,2.97758711203,2.70278981434,1.4563611339200002,1.48252351808,3.0010544659900003,1.99924435333,1.64640751974,1.6548090920700005,2.26628360638,2.53197843465,0.936833644344,2.37970945214,0.84,0.8370226382960001,2.44610078917,1.78291818773,0.489479759781,2.07898217738,2.95908941958,1.62472042028,2.51537654275,2.4955390283,3.4240977677,1.38794294653
MIMAT0019048,,,,,,,,0.4831,,,,,,,,,,0.5552,0.2861,,,,,,,0.3214,,,,,,,,,,,,,,,,,,,0.1377,,,,,,,,,,,,,,0.1865,,,,,,,,,,,,,,,,,,,,
MIMAT0019049,,,,,,,,,,,,,0.4112,,,,,,,,,,,0.4279,,,,0.9386,,,,,,0.5956,,,,,,,,,,,,,,,,,,,,,0.738185401955,,,,,,,,,,,,,,,0.2551,,,,,,,,,
MIMAT0019047,0.442414539368,0.2117,,0.2333,0.7855446417599999,,,,,,1.6663736812,,0.4112102701199999,0.355727284158,,,0.7080001063670001,,,,0.5025,,,0.4279,0.290046401854,0.806152554078,,,0.1968,,0.8697,,0.507557740224,,,,,,0.774444642033,,,0.6943161346150001,,0.41,0.1377,0.2097,,0.5754,,,0.575167623046,,0.8490000000000001,,,0.4087,,0.4581,0.1865,0.2045,0.4591,,,,,,,,0.292408770191,0.2551,,0.489479759781,0.68716923262,0.4964,0.0939,0.419,0.3481,0.888884455497,0.265593580602
MIMAT0019044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6762,,,,,,,,,,0.0939,,,,
MIMAT0019045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAT0019042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
